"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
38626601;1;1967;1;0;4;-1;0;4;1;200000;1;1;1;11;23,52
38626601;2;1975;2;1;4;-1;0;11;0;0;2;0;1;4;36,47
38626601;3;1999;2;2;3;4;0;14;0;0;2;0;1;2;29,10
38626601;4;2005;1;2;2;3;0;14;0;0;2;0;1;6;36,32
38626602;1;1965;1;0;4;-1;0;4;1;420000;1;0;1;2;77,97
38626602;2;1961;2;1;4;-1;0;11;0;0;2;0;1;2;72,84
38626602;3;1990;1;2;5;7;0;14;0;0;2;0;1;2;59,45
38626602;4;1989;1;3;5;-1;1;1;1;280000;1;1;1;4;59,45
38626602;5;1991;2;3;4;-1;0;4;1;200000;1;0;1;4;71,06
38626602;6;2010;2;3;1;-1;0;13;0;0;2;1;0;0;125,35
38626603;1;1956;1;0;4;-1;0;3;2;700000;1;1;0;0;18,90
38626603;2;1962;2;1;4;-1;0;11;0;0;2;0;1;4;17,66
38626603;3;1982;2;2;4;7;0;14;0;0;2;1;1;4;29,32
38626603;4;2000;1;2;3;4;0;14;0;0;2;0;1;4;29,20
38626603;5;2001;2;3;3;4;0;14;0;0;2;0;1;4;23,39
38626604;1;1956;2;0;4;-1;0;11;0;150000;1;1;1;4;33,17
38626604;2;1996;2;2;4;4;0;14;0;0;2;0;1;4;31,30
38626605;1;1968;1;0;4;-1;0;4;1;440000;1;0;1;2;18,90
38626605;2;1965;2;1;5;-1;1;1;1;300000;1;1;1;2;17,66
38626605;3;1985;2;2;4;-1;0;4;1;350000;1;1;1;3;29,32
38626605;4;1989;2;2;5;7;0;14;0;100000;1;1;1;6;17,23
38626605;5;1993;1;2;4;-1;0;4;1;200000;1;0;1;2;14,41
38630502;1;1969;1;0;4;-1;0;4;1;330000;1;0;1;2;23,52
38630502;2;1982;2;1;4;-1;0;11;0;0;2;0;1;2;36,47
38630502;3;2007;1;2;1;-1;0;13;0;0;2;1;0;0;35,68
38630502;4;2010;2;2;1;-1;0;13;0;0;2;1;0;0;37,81
38630504;1;1958;2;0;4;-1;0;4;1;190000;1;0;1;2;21,97
38630504;2;1959;1;1;3;-1;0;3;1;330000;1;0;1;6;23,52
38630504;3;1996;1;2;4;4;0;14;0;0;2;0;1;2;31,94
38630504;4;1979;1;2;4;-1;0;4;1;220000;1;0;1;2;40,62
38630505;1;1973;1;0;4;-1;0;4;1;350000;1;0;1;2;34,44
38630505;2;1973;2;1;4;-1;0;4;1;195000;1;0;1;2;30,92
38630505;3;1987;1;2;4;-1;0;12;0;0;2;0;1;2;15,20
38630506;1;1972;2;0;4;-1;0;11;0;0;2;0;1;2;29,32
38630506;2;1991;1;2;4;-1;0;4;1;320000;1;0;1;2;14,41
38630506;3;1992;1;2;4;-1;0;12;0;0;2;0;1;2;14,41
38630506;4;1962;1;3;3;-1;0;12;0;150000;1;1;1;2;18,90
38630506;5;1974;1;3;4;-1;0;12;0;0;2;1;0;0;32,65
38630507;1;1938;2;0;3;-1;0;9;0;150000;1;0;1;2;28,66
38630508;1;1937;2;0;3;-1;0;9;0;95000;1;0;1;2;18,35
